"Title","Points","Change","Countries","PiCountry","Days","PiDay","Total","MovieLink","Date","Category","Stremaer"
"Best of Phua Chu Kang Pte Ltd","9","-25%","2","4","1","9","300","https://flixpatrol.com/title/best-of-phua-chu-kang-pte-ltd","2020-08-30","movie","netflix"
"Pee Nak 2","9","0%","1","9","1","9","97","https://flixpatrol.com/title/pee-nak-2","2020-08-30","movie","netflix"
"Catch Me If You Can","9","-","1","9","1","9","9","https://flixpatrol.com/title/catch-me-if-you-can","2020-08-30","movie","netflix"
"John Wick: Chapter Two","8","-11%","1","8","1","8","450","https://flixpatrol.com/title/john-wick-chapter-two","2020-08-30","movie","netflix"
"Hitman: Agent Jun","8","-11%","1","8","1","8","140","https://flixpatrol.com/title/hitman-agent-jun","2020-08-30","movie","netflix"
"My Spy","8","+100%","1","8","1","8","176","https://flixpatrol.com/title/my-spy","2020-08-30","movie","netflix"
"Miracle in Cell No. 7","8","-11%","1","8","1","8","2724","https://flixpatrol.com/title/miracle-in-cell-no-7","2020-08-30","movie","netflix"
"Friend Zone","8","+14%","1","8","1","8","170","https://flixpatrol.com/title/friend-zone-2019","2020-08-30","movie","netflix"
"It: Chapter 2","8","+33%","1","8","1","8","705","https://flixpatrol.com/title/it-chapter-2","2020-08-30","movie","netflix"
"Can You Keep a Secret?","8","+100%","2","4","1","8","217","https://flixpatrol.com/title/can-you-keep-a-secret","2020-08-30","movie","netflix"
"The Fate of the Furious","8","0%","1","8","1","8","216","https://flixpatrol.com/title/the-fate-of-the-furious","2020-08-30","movie","netflix"
"Teenage Mutant Ninja Turtles","8","-11%","1","8","1","8","418","https://flixpatrol.com/title/teenage-mutant-ninja-turtles-2014","2020-08-30","movie","netflix"
"Drunk Parents","8","0%","1","8","1","8","97","https://flixpatrol.com/title/drunk-parents","2020-08-30","movie","netflix"
"Ip Man 4: The Finale","8","-27%","2","4","1","8","144","https://flixpatrol.com/title/ip-man-4-the-finale","2020-08-30","movie","netflix"
"Pet Sematary","7","-12%","2","4","1","7","217","https://flixpatrol.com/title/pet-sematary-2019","2020-08-30","movie","netflix"
"Official Secrets","7","-22%","2","4","1","7","87","https://flixpatrol.com/title/official-secrets","2020-08-30","movie","netflix"
"Crazy Crying Lady","7","-12%","1","7","1","7","23","https://flixpatrol.com/title/crazy-crying-lady","2020-08-30","movie","netflix"
"Metamorphosis","7","-22%","1","7","1","7","73","https://flixpatrol.com/title/metamorphosis-2019","2020-08-30","movie","netflix"
"1BR","7","-30%","1","7","1","7","89","https://flixpatrol.com/title/1br","2020-08-30","movie","netflix"
"Family Feud South Africa","7","0%","1","7","1","7","138","https://flixpatrol.com/title/family-feud-south-africa","2020-08-30","movie","netflix"
"Charlie and the Chocolate Factory","7","+40%","3","2","1","7","559","https://flixpatrol.com/title/charlie-and-the-chocolate-factory","2020-08-30","movie","netflix"
"The Equalizer","7","0%","1","7","1","7","490","https://flixpatrol.com/title/the-equalizer","2020-08-30","movie","netflix"
"6 Underground","7","-30%","2","4","1","7","3606","https://flixpatrol.com/title/6-underground","2020-08-30","movie","netflix"
"The Old Man and the Gun","7","-12%","1","7","1","7","24","https://flixpatrol.com/title/the-old-man-and-the-gun","2020-08-30","movie","netflix"
"Countdown","7","-12%","1","7","1","7","54","https://flixpatrol.com/title/countdown-2019","2020-08-30","movie","netflix"
"Tazza: One Eyed Jack","7","-12%","1","7","1","7","120","https://flixpatrol.com/title/tazza-one-eyed-jack","2020-08-30","movie","netflix"
"Furious 7","6","-33%","2","3","1","6","2615","https://flixpatrol.com/title/furious-7","2020-08-30","movie","netflix"
"Smallfoot","6","-14%","1","6","1","6","588","https://flixpatrol.com/title/smallfoot","2020-08-30","movie","netflix"
"Black Ballerina","6","-25%","1","6","1","6","63","https://flixpatrol.com/title/black-ballerina","2020-08-30","movie","netflix"
"MILF","6","-14%","2","3","1","6","5344","https://flixpatrol.com/title/milf-2018","2020-08-30","movie","netflix"
"Monopoly (Bank Of Luck)","6","0%","1","6","1","6","404","https://flixpatrol.com/title/monopoly-bank-of-luck","2020-08-30","movie","netflix"
"13 Going On 30","6","-33%","2","3","1","6","37","https://flixpatrol.com/title/13-going-on-30","2020-08-30","movie","netflix"
"Holmes and Watson","6","-","2","3","1","6","35","https://flixpatrol.com/title/holmes-and-watson","2020-08-30","movie","netflix"
"BlackRose","6","0%","1","6","1","6","59","https://flixpatrol.com/title/blackrose","2020-08-30","movie","netflix"
"Hard-Core","6","-14%","1","6","1","6","37","https://flixpatrol.com/title/hard-core","2020-08-30","movie","netflix"
"The Sleepover","549","-12%","76","7","1","549","4870","https://flixpatrol.com/title/the-sleepover","2020-08-29","movie","netflix"
"Project Power","539","-11%","74","7","1","539","9986","https://flixpatrol.com/title/project-power","2020-08-29","movie","netflix"
"Santana","394","-","52","8","1","394","394","https://flixpatrol.com/title/santana","2020-08-29","movie","netflix"
"365 Days","283","-15%","58","5","1","283","32947","https://flixpatrol.com/title/365-days","2020-08-29","movie","netflix"
"Escape Plan","159","-8%","18","9","1","159","907","https://flixpatrol.com/title/escape-plan","2020-08-29","movie","netflix"
"All Together Now","108","-","28","4","1","108","108","https://flixpatrol.com/title/all-together-now-2020","2020-08-29","movie","netflix"
"Tammy","99","-24%","17","6","1","99","1237","https://flixpatrol.com/title/tammy","2020-08-29","movie","netflix"
"From Prada to Nada","89","-15%","17","5","1","89","655","https://flixpatrol.com/title/from-prada-to-nada","2020-08-29","movie","netflix"
"Mamma Mia: Here We Go Again!","77","+18%","9","9","1","77","410","https://flixpatrol.com/title/mamma-mia-here-we-go-again","2020-08-29","movie","netflix"
"Work It","74","-37%","23","3","1","74","8054","https://flixpatrol.com/title/work-it-2020","2020-08-29","movie","netflix"
"The Bridge Curse","60","-33%","13","5","1","60","349","https://flixpatrol.com/title/the-bridge-curse","2020-08-29","movie","netflix"
"Unknown Origins","57","-","14","4","1","57","57","https://flixpatrol.com/title/unknown-origins","2020-08-29","movie","netflix"
"Scarecrow","51","-7%","7","7","1","51","391","https://flixpatrol.com/title/scarecrow-2019","2020-08-29","movie","netflix"
"Slither","47","-","11","4","1","47","47","https://flixpatrol.com/title/slither","2020-08-29","movie","netflix"
"Wonder Park","46","+18%","5","9","1","46","85","https://flixpatrol.com/title/wonder-park","2020-08-29","movie","netflix"
"Class of '83","46","-30%","7","7","1","46","511","https://flixpatrol.com/title/class-of-83","2020-08-29","movie","netflix"
"The Kissing Booth 2","45","-27%","16","3","1","45","12702","https://flixpatrol.com/title/the-kissing-booth-2","2020-08-29","movie","netflix"
